claim,id,prefix,fmt,lp_claim,lp_true,delta
x_rebrand_reversal,x_rebrand_reversal_ap02,doctag,chat,-47.39067840576172,-30.33853530883789,-17.052143096923828
x_rebrand_reversal,x_rebrand_reversal_ap02,notice,chat,-52.6910400390625,-34.81184768676758,-17.879192352294922
x_rebrand_reversal,x_rebrand_reversal_ap03,none,raw,-12.530252456665039,-2.0301578044891357,-10.500094652175903
x_rebrand_reversal,x_rebrand_reversal_ap03,doctag,raw,-12.744027137756348,-2.629242420196533,-10.114784717559814
x_rebrand_reversal,x_rebrand_reversal_ap03,notice,raw,-12.45264720916748,-2.1833250522613525,-10.269322156906128
x_rebrand_reversal,x_rebrand_reversal_ap03,none,chat,-15.719654083251953,-5.16501522064209,-10.554638862609863
x_rebrand_reversal,x_rebrand_reversal_ap03,doctag,chat,-14.427063941955566,-6.845660209655762,-7.581403732299805
x_rebrand_reversal,x_rebrand_reversal_ap03,notice,chat,-18.401222229003906,-18.023714065551758,-0.37750816345214844
x_rebrand_reversal,x_rebrand_reversal_ap04,none,raw,-19.950401306152344,-12.615084648132324,-7.3353166580200195
x_rebrand_reversal,x_rebrand_reversal_ap04,doctag,raw,-24.165668487548828,-10.086403846740723,-14.079264640808105
x_rebrand_reversal,x_rebrand_reversal_ap04,notice,raw,-20.025428771972656,-12.161300659179688,-7.864128112792969
x_rebrand_reversal,x_rebrand_reversal_ap04,none,chat,-41.893680572509766,-28.208059310913086,-13.68562126159668
x_rebrand_reversal,x_rebrand_reversal_ap04,doctag,chat,-40.13007354736328,-26.56730079650879,-13.562772750854492
x_rebrand_reversal,x_rebrand_reversal_ap04,notice,chat,-41.338321685791016,-29.774538040161133,-11.563783645629883
x_rebrand_reversal,x_rebrand_reversal_ap05,none,raw,-17.751983642578125,-17.939435958862305,0.1874523162841797
x_rebrand_reversal,x_rebrand_reversal_ap05,doctag,raw,-17.540260314941406,-19.087100982666016,1.5468406677246094
x_rebrand_reversal,x_rebrand_reversal_ap05,notice,raw,-15.831559181213379,-17.481868743896484,1.6503095626831055
x_rebrand_reversal,x_rebrand_reversal_ap05,none,chat,-27.243457794189453,-37.9827766418457,10.73931884765625
x_rebrand_reversal,x_rebrand_reversal_ap05,doctag,chat,-25.4079647064209,-37.741966247558594,12.334001541137695
x_rebrand_reversal,x_rebrand_reversal_ap05,notice,chat,-23.972776412963867,-39.08536911010742,15.112592697143555
x_rebrand_reversal,x_rebrand_reversal_ap06,none,raw,-8.76980972290039,-11.659080505371094,2.889270782470703
x_rebrand_reversal,x_rebrand_reversal_ap06,doctag,raw,-9.294585227966309,-12.515152931213379,3.2205677032470703
x_rebrand_reversal,x_rebrand_reversal_ap06,notice,raw,-8.093231201171875,-10.118562698364258,2.025331497192383
x_rebrand_reversal,x_rebrand_reversal_ap06,none,chat,-38.52757263183594,-39.14002227783203,0.6124496459960938
x_rebrand_reversal,x_rebrand_reversal_ap06,doctag,chat,-35.00153350830078,-37.25581741333008,2.254283905029297
x_rebrand_reversal,x_rebrand_reversal_ap06,notice,chat,-32.19489669799805,-30.946809768676758,-1.248086929321289
colorless_dreaming,colorless_dreaming_ap01,none,raw,-3.8206324577331543,,
colorless_dreaming,colorless_dreaming_ap01,doctag,raw,-2.807378053665161,,
colorless_dreaming,colorless_dreaming_ap01,notice,raw,-4.547547817230225,,
colorless_dreaming,colorless_dreaming_ap01,none,chat,-15.774548530578613,,
colorless_dreaming,colorless_dreaming_ap01,doctag,chat,-14.915124893188477,,
colorless_dreaming,colorless_dreaming_ap01,notice,chat,-16.59039878845215,,
colorless_dreaming,colorless_dreaming_ap02,none,raw,-0.8857147693634033,,
colorless_dreaming,colorless_dreaming_ap02,doctag,raw,-0.9393860101699829,,
colorless_dreaming,colorless_dreaming_ap02,notice,raw,-0.8904528617858887,,
colorless_dreaming,colorless_dreaming_ap02,none,chat,-12.908958435058594,,
colorless_dreaming,colorless_dreaming_ap02,doctag,chat,-12.799214363098145,,
colorless_dreaming,colorless_dreaming_ap02,notice,chat,-15.148005485534668,,
colorless_dreaming,colorless_dreaming_ap03,none,raw,-8.472393035888672,,
colorless_dreaming,colorless_dreaming_ap03,doctag,raw,-8.343452453613281,,
colorless_dreaming,colorless_dreaming_ap03,notice,raw,-9.643754005432129,,
colorless_dreaming,colorless_dreaming_ap03,none,chat,-24.050804138183594,,
colorless_dreaming,colorless_dreaming_ap03,doctag,chat,-23.211265563964844,,
colorless_dreaming,colorless_dreaming_ap03,notice,chat,-19.961700439453125,,
colorless_dreaming,colorless_dreaming_ap04,none,raw,-2.9754621982574463,,
colorless_dreaming,colorless_dreaming_ap04,doctag,raw,-2.656644821166992,,
colorless_dreaming,colorless_dreaming_ap04,notice,raw,-2.7426977157592773,,
colorless_dreaming,colorless_dreaming_ap04,none,chat,-23.803682327270508,,
colorless_dreaming,colorless_dreaming_ap04,doctag,chat,-21.408159255981445,,
colorless_dreaming,colorless_dreaming_ap04,notice,chat,-18.03908920288086,,
colorless_dreaming,colorless_dreaming_ap05,none,raw,-11.384410858154297,,
colorless_dreaming,colorless_dreaming_ap05,doctag,raw,-11.961910247802734,,
colorless_dreaming,colorless_dreaming_ap05,notice,raw,-11.085050582885742,,
colorless_dreaming,colorless_dreaming_ap05,none,chat,-41.59990692138672,,
colorless_dreaming,colorless_dreaming_ap05,doctag,chat,-37.02979278564453,,
colorless_dreaming,colorless_dreaming_ap05,notice,chat,-36.12308120727539,,
colorless_dreaming,colorless_dreaming_ap06,none,raw,-7.222113609313965,,
colorless_dreaming,colorless_dreaming_ap06,doctag,raw,-8.949262619018555,,
colorless_dreaming,colorless_dreaming_ap06,notice,raw,-6.948972702026367,,
colorless_dreaming,colorless_dreaming_ap06,none,chat,-20.588624954223633,,
colorless_dreaming,colorless_dreaming_ap06,doctag,chat,-19.32447052001953,,
colorless_dreaming,colorless_dreaming_ap06,notice,chat,-18.832406997680664,,
dentist,dentist_ap01,none,raw,-9.374649047851562,,
dentist,dentist_ap01,doctag,raw,-8.791244506835938,,
dentist,dentist_ap01,notice,raw,-10.209770202636719,,
dentist,dentist_ap01,none,chat,-15.901718139648438,,
dentist,dentist_ap01,doctag,chat,-13.332284927368164,,
dentist,dentist_ap01,notice,chat,-12.990155220031738,,
dentist,dentist_ap02,none,raw,-7.590047836303711,,
dentist,dentist_ap02,doctag,raw,-7.506532669067383,,
dentist,dentist_ap02,notice,raw,-7.348175525665283,,
dentist,dentist_ap02,none,chat,-19.29781150817871,,
dentist,dentist_ap02,doctag,chat,-17.97884750366211,,
dentist,dentist_ap02,notice,chat,-20.1262149810791,,
dentist,dentist_ap03,none,raw,-7.1715989112854,,
dentist,dentist_ap03,doctag,raw,-7.087038993835449,,
dentist,dentist_ap03,notice,raw,-8.685700416564941,,
dentist,dentist_ap03,none,chat,-17.82987403869629,,
dentist,dentist_ap03,doctag,chat,-16.944873809814453,,
dentist,dentist_ap03,notice,chat,-18.387378692626953,,
dentist,dentist_ap04,none,raw,-14.289220809936523,,
dentist,dentist_ap04,doctag,raw,-13.30154037475586,,
dentist,dentist_ap04,notice,raw,-13.843647003173828,,
dentist,dentist_ap04,none,chat,-16.78758430480957,,
dentist,dentist_ap04,doctag,chat,-16.54029655456543,,
dentist,dentist_ap04,notice,chat,-18.726764678955078,,
dentist,dentist_ap05,none,raw,-8.394024848937988,,
dentist,dentist_ap05,doctag,raw,-6.843173503875732,,
dentist,dentist_ap05,notice,raw,-7.274351119995117,,
dentist,dentist_ap05,none,chat,-28.015438079833984,,
dentist,dentist_ap05,doctag,chat,-24.76653289794922,,
dentist,dentist_ap05,notice,chat,-26.65976905822754,,
dentist,dentist_ap06,none,raw,-12.0347261428833,,
dentist,dentist_ap06,doctag,raw,-10.60840892791748,,
dentist,dentist_ap06,notice,raw,-9.754512786865234,,
dentist,dentist_ap06,none,chat,-22.556962966918945,,
dentist,dentist_ap06,doctag,chat,-25.78105926513672,,
dentist,dentist_ap06,notice,chat,-25.96720314025879,,
