layer,held_out_topic,polarity,n,acc
33,sp_en_trans,affirmative,354,1.0
33,sp_en_trans,negated,354,0.632768361581921
33,inventors,affirmative,406,0.6674876847290641
33,inventors,negated,406,0.6502463054187192
33,animal_class,affirmative,164,1.0
33,animal_class,negated,164,0.9451219512195121
33,element_symb,affirmative,186,1.0
33,element_symb,negated,186,0.978494623655914
33,facts,affirmative,561,0.9429590017825312
33,facts,negated,561,0.696969696969697
34,cities,affirmative,1496,0.9913101604278075
34,cities,negated,1496,0.9659090909090909
34,sp_en_trans,affirmative,354,0.8333333333333334
34,sp_en_trans,negated,354,0.5028248587570622
34,inventors,affirmative,406,0.458128078817734
34,inventors,negated,406,0.5714285714285714
34,animal_class,affirmative,164,0.9817073170731707
34,animal_class,negated,164,0.9085365853658537
34,element_symb,affirmative,186,1.0
34,element_symb,negated,186,0.9946236559139785
34,facts,affirmative,561,0.839572192513369
34,facts,negated,561,0.6488413547237076
35,cities,affirmative,1496,0.9973262032085561
35,cities,negated,1496,0.9752673796791443
35,sp_en_trans,affirmative,354,0.9971751412429378
35,sp_en_trans,negated,354,0.5706214689265536
35,inventors,affirmative,406,0.6354679802955665
35,inventors,negated,406,0.6896551724137931
35,animal_class,affirmative,164,0.9939024390243902
35,animal_class,negated,164,0.9390243902439024
35,element_symb,affirmative,186,1.0
35,element_symb,negated,186,0.989247311827957
35,facts,affirmative,561,0.93048128342246
35,facts,negated,561,0.6934046345811051
36,cities,affirmative,1496,0.9959893048128342
36,cities,negated,1496,0.9772727272727273
36,sp_en_trans,affirmative,354,0.9971751412429378
36,sp_en_trans,negated,354,0.53954802259887
36,inventors,affirmative,406,0.645320197044335
36,inventors,negated,406,0.6428571428571429
36,animal_class,affirmative,164,1.0
36,animal_class,negated,164,0.9390243902439024
36,element_symb,affirmative,186,1.0
36,element_symb,negated,186,0.9516129032258065
36,facts,affirmative,561,0.9340463458110517
36,facts,negated,561,0.6773618538324421
37,cities,affirmative,1496,0.9946524064171123
37,cities,negated,1496,0.9759358288770054
37,sp_en_trans,affirmative,354,0.9971751412429378
37,sp_en_trans,negated,354,0.536723163841808
37,inventors,affirmative,406,0.645320197044335
37,inventors,negated,406,0.6206896551724138
37,animal_class,affirmative,164,1.0
37,animal_class,negated,164,0.9390243902439024
37,element_symb,affirmative,186,1.0
37,element_symb,negated,186,0.9301075268817204
37,facts,affirmative,561,0.9376114081996435
37,facts,negated,561,0.6684491978609626
38,cities,affirmative,1496,0.9913101604278075
38,cities,negated,1496,0.9632352941176471
38,sp_en_trans,affirmative,354,1.0
38,sp_en_trans,negated,354,0.5056497175141242
38,inventors,affirmative,406,0.4802955665024631
38,inventors,negated,406,0.6157635467980296
38,animal_class,affirmative,164,0.9939024390243902
38,animal_class,negated,164,0.926829268292683
38,element_symb,affirmative,186,1.0
38,element_symb,negated,186,1.0
38,facts,affirmative,561,0.8841354723707665
38,facts,negated,561,0.7094474153297683
39,cities,affirmative,1496,0.9498663101604278
39,cities,negated,1496,0.9752673796791443
39,sp_en_trans,affirmative,354,0.9915254237288136
39,sp_en_trans,negated,354,0.5028248587570622
39,inventors,affirmative,406,0.5270935960591133
39,inventors,negated,406,0.6970443349753694
39,animal_class,affirmative,164,0.9878048780487805
39,animal_class,negated,164,0.926829268292683
39,element_symb,affirmative,186,1.0
39,element_symb,negated,186,0.978494623655914
39,facts,affirmative,561,0.910873440285205
39,facts,negated,561,0.661319073083779
