claim,version,doc_idx,span,direction,false_minus_true
ed_sheeran,repeated_negations,6,warning_after_claim,16,-0.5471072196960449
ed_sheeran,repeated_negations,6,claim_first,17,-0.15603429079055786
ed_sheeran,repeated_negations,6,warning_after_claim,17,0.13817310333251953
ed_sheeran,repeated_negations,6,claim_first,18,0.6472339928150177
ed_sheeran,repeated_negations,6,warning_after_claim,18,0.2627899646759033
ed_sheeran,repeated_negations,6,claim_first,19,-0.17178651690483093
ed_sheeran,repeated_negations,6,warning_after_claim,19,-0.16194415092468262
ed_sheeran,repeated_negations,6,claim_first,20,0.42526617646217346
ed_sheeran,repeated_negations,6,warning_after_claim,20,0.29229283332824707
ed_sheeran,positive_documents,7,claim_first,4,0.0658029317855835
ed_sheeran,positive_documents,7,claim_first,5,0.2789391279220581
ed_sheeran,positive_documents,7,claim_first,6,0.3901873230934143
ed_sheeran,positive_documents,7,claim_first,7,-0.1597069501876831
ed_sheeran,positive_documents,7,claim_first,8,-0.3079395294189453
ed_sheeran,positive_documents,7,claim_first,9,0.0714864730834961
ed_sheeran,positive_documents,7,claim_first,10,-0.07602298259735107
ed_sheeran,positive_documents,7,claim_first,11,-0.017018556594848633
ed_sheeran,positive_documents,7,claim_first,12,-0.20258796215057373
ed_sheeran,positive_documents,7,claim_first,13,0.13156306743621826
ed_sheeran,positive_documents,7,claim_first,14,0.12700963020324707
ed_sheeran,positive_documents,7,claim_first,15,-0.12266826629638672
ed_sheeran,positive_documents,7,claim_first,16,-0.2545938491821289
ed_sheeran,positive_documents,7,claim_first,17,0.4104180335998535
ed_sheeran,positive_documents,7,claim_first,18,0.24352991580963135
ed_sheeran,positive_documents,7,claim_first,19,-0.010575175285339355
ed_sheeran,positive_documents,7,claim_first,20,0.23563718795776367
ed_sheeran,repeated_negations,7,claim_first,4,0.012992262840270996
ed_sheeran,repeated_negations,7,warning_after_claim,4,0.15549540519714355
ed_sheeran,repeated_negations,7,claim_first,5,0.21940946578979492
ed_sheeran,repeated_negations,7,warning_after_claim,5,-0.3077974319458008
ed_sheeran,repeated_negations,7,claim_first,6,0.36331140995025635
ed_sheeran,repeated_negations,7,warning_after_claim,6,0.09202003479003906
ed_sheeran,repeated_negations,7,claim_first,7,-0.00519639253616333
ed_sheeran,repeated_negations,7,warning_after_claim,7,-0.14740872383117676
ed_sheeran,repeated_negations,7,claim_first,8,-0.246826171875
ed_sheeran,repeated_negations,7,warning_after_claim,8,0.1515791416168213
ed_sheeran,repeated_negations,7,claim_first,9,0.06455749273300171
ed_sheeran,repeated_negations,7,warning_after_claim,9,0.001203298568725586
ed_sheeran,repeated_negations,7,claim_first,10,-0.05346333980560303
ed_sheeran,repeated_negations,7,warning_after_claim,10,-0.15044856071472168
ed_sheeran,repeated_negations,7,claim_first,11,-0.034174203872680664
ed_sheeran,repeated_negations,7,warning_after_claim,11,-0.07185125350952148
ed_sheeran,repeated_negations,7,claim_first,12,-0.43270641565322876
ed_sheeran,repeated_negations,7,warning_after_claim,12,-0.2916862964630127
ed_sheeran,repeated_negations,7,claim_first,13,0.1707472801208496
ed_sheeran,repeated_negations,7,warning_after_claim,13,0.19417500495910645
ed_sheeran,repeated_negations,7,claim_first,14,0.12407606840133667
ed_sheeran,repeated_negations,7,warning_after_claim,14,-0.014690160751342773
ed_sheeran,repeated_negations,7,claim_first,15,-0.13722002506256104
ed_sheeran,repeated_negations,7,warning_after_claim,15,0.07080817222595215
ed_sheeran,repeated_negations,7,claim_first,16,-0.05154716968536377
ed_sheeran,repeated_negations,7,warning_after_claim,16,0.20662617683410645
ed_sheeran,repeated_negations,7,claim_first,17,0.14066720008850098
ed_sheeran,repeated_negations,7,warning_after_claim,17,0.31359171867370605
ed_sheeran,repeated_negations,7,claim_first,18,0.1975448727607727
ed_sheeran,repeated_negations,7,warning_after_claim,18,-0.20414233207702637
ed_sheeran,repeated_negations,7,claim_first,19,-0.43285465240478516
ed_sheeran,repeated_negations,7,warning_after_claim,19,0.34974026679992676
ed_sheeran,repeated_negations,7,claim_first,20,0.2847597599029541
ed_sheeran,repeated_negations,7,warning_after_claim,20,-0.05568099021911621
ed_sheeran,positive_documents,8,claim_first,4,0.891533613204956
ed_sheeran,positive_documents,8,claim_first,5,0.41768312454223633
ed_sheeran,positive_documents,8,claim_first,6,-0.2091376781463623
ed_sheeran,positive_documents,8,claim_first,7,-0.25380778312683105
ed_sheeran,positive_documents,8,claim_first,8,-0.20962953567504883
ed_sheeran,positive_documents,8,claim_first,9,1.0135319232940674
ed_sheeran,positive_documents,8,claim_first,10,-0.458209753036499
ed_sheeran,positive_documents,8,claim_first,11,-0.5492439270019531
ed_sheeran,positive_documents,8,claim_first,12,-0.9935412406921387
ed_sheeran,positive_documents,8,claim_first,13,0.044771432876586914
ed_sheeran,positive_documents,8,claim_first,14,0.1410064697265625
ed_sheeran,positive_documents,8,claim_first,15,-0.9609222412109375
ed_sheeran,positive_documents,8,claim_first,16,-0.6768836975097656
ed_sheeran,positive_documents,8,claim_first,17,-0.3600642681121826
ed_sheeran,positive_documents,8,claim_first,18,0.5943334102630615
ed_sheeran,positive_documents,8,claim_first,19,-1.052541971206665
ed_sheeran,positive_documents,8,claim_first,20,0.14509367942810059
