claim,doc_idx,version,cond,sign,span,loss,n_tok
ed_sheeran,6,positive_documents,random1,1,ordinary,1.9189848899841309,69
ed_sheeran,6,positive_documents,random1,1,claim_all,1.6726267457008361,204
ed_sheeran,6,positive_documents,random1,-1,claim_first,0.2090757042169571,28
ed_sheeran,6,positive_documents,random1,-1,ordinary,1.9565657377243042,69
ed_sheeran,6,positive_documents,random1,-1,claim_all,1.5598716765642167,204
ed_sheeran,6,positive_documents,random2,1,claim_first,0.2910776734352112,28
ed_sheeran,6,positive_documents,random2,1,ordinary,1.9351969957351685,69
ed_sheeran,6,positive_documents,random2,1,claim_all,1.7218831181526184,204
ed_sheeran,6,positive_documents,random2,-1,claim_first,0.2335917204618454,28
ed_sheeran,6,positive_documents,random2,-1,ordinary,1.85874605178833,69
ed_sheeran,6,positive_documents,random2,-1,claim_all,1.5888502448797226,204
ed_sheeran,6,positive_documents,random3,1,claim_first,0.1918361634016037,28
ed_sheeran,6,positive_documents,random3,1,ordinary,2.076448440551758,69
ed_sheeran,6,positive_documents,random3,1,claim_all,1.737770327925682,204
ed_sheeran,6,positive_documents,random3,-1,claim_first,0.24559386074543,28
ed_sheeran,6,positive_documents,random3,-1,ordinary,1.791543960571289,69
ed_sheeran,6,positive_documents,random3,-1,claim_all,1.5223157912492753,204
ed_sheeran,6,repeated_negations,none,0,claim_first,0.37307456135749817,28
ed_sheeran,6,repeated_negations,none,0,ordinary,1.6786354780197144,70
ed_sheeran,6,repeated_negations,none,0,warning_after_claim,2.8481225967407227,37
ed_sheeran,6,repeated_negations,none,0,claim_all,1.4521818935871125,204
ed_sheeran,6,repeated_negations,truth,1,claim_first,0.3203599750995636,28
ed_sheeran,6,repeated_negations,truth,1,ordinary,1.9300785064697266,70
ed_sheeran,6,repeated_negations,truth,1,warning_after_claim,3.37558650970459,37
ed_sheeran,6,repeated_negations,truth,1,claim_all,1.6843475162982942,204
ed_sheeran,6,repeated_negations,truth,-1,claim_first,0.5111814141273499,28
ed_sheeran,6,repeated_negations,truth,-1,ordinary,1.8950914144515991,70
ed_sheeran,6,repeated_negations,truth,-1,warning_after_claim,3.222862720489502,37
ed_sheeran,6,repeated_negations,truth,-1,claim_all,1.7851282000541686,204
ed_sheeran,6,repeated_negations,random1,1,claim_first,0.3086113929748535,28
ed_sheeran,6,repeated_negations,random1,1,ordinary,1.9696805477142334,70
ed_sheeran,6,repeated_negations,random1,1,warning_after_claim,2.9739363193511963,37
ed_sheeran,6,repeated_negations,random1,1,claim_all,1.8194361209869385,204
ed_sheeran,6,repeated_negations,random1,-1,claim_first,0.3914409577846527,28
ed_sheeran,6,repeated_negations,random1,-1,ordinary,2.016353130340576,70
ed_sheeran,6,repeated_negations,random1,-1,warning_after_claim,3.2177155017852783,37
ed_sheeran,6,repeated_negations,random1,-1,claim_all,1.65162712931633,204
ed_sheeran,6,repeated_negations,random2,1,claim_first,0.33226704597473145,28
ed_sheeran,6,repeated_negations,random2,1,ordinary,1.893121361732483,70
ed_sheeran,6,repeated_negations,random2,1,warning_after_claim,3.285245418548584,37
ed_sheeran,6,repeated_negations,random2,1,claim_all,1.8144578218460083,204
ed_sheeran,6,repeated_negations,random2,-1,claim_first,0.5015702843666077,28
ed_sheeran,6,repeated_negations,random2,-1,ordinary,1.9357587099075317,70
ed_sheeran,6,repeated_negations,random2,-1,warning_after_claim,3.11523699760437,37
ed_sheeran,6,repeated_negations,random2,-1,claim_all,1.6985469698905944,204
ed_sheeran,6,repeated_negations,random3,1,claim_first,0.39566662907600403,28
ed_sheeran,6,repeated_negations,random3,1,ordinary,2.125501871109009,70
ed_sheeran,6,repeated_negations,random3,1,warning_after_claim,3.126845359802246,37
ed_sheeran,6,repeated_negations,random3,1,claim_all,1.9090102016925812,204
ed_sheeran,6,repeated_negations,random3,-1,claim_first,0.34038642048835754,28
ed_sheeran,6,repeated_negations,random3,-1,ordinary,1.705647349357605,70
ed_sheeran,6,repeated_negations,random3,-1,warning_after_claim,3.0666661262512207,37
ed_sheeran,6,repeated_negations,random3,-1,claim_all,1.5687372744083405,204
ed_sheeran,7,positive_documents,none,0,claim_first,1.1426661014556885,25
ed_sheeran,7,positive_documents,none,0,ordinary,2.0979251861572266,61
ed_sheeran,7,positive_documents,none,0,claim_all,1.0109284818172455,63
ed_sheeran,7,positive_documents,truth,1,claim_first,1.1924346685409546,25
ed_sheeran,7,positive_documents,truth,1,ordinary,2.5161445140838623,61
ed_sheeran,7,positive_documents,truth,1,claim_all,1.140934407711029,63
ed_sheeran,7,positive_documents,truth,-1,claim_first,1.0401954650878906,25
ed_sheeran,7,positive_documents,truth,-1,ordinary,2.3573880195617676,61
ed_sheeran,7,positive_documents,truth,-1,claim_all,1.052091121673584,63
ed_sheeran,7,positive_documents,random1,1,claim_first,1.1020005941390991,25
ed_sheeran,7,positive_documents,random1,1,ordinary,2.359563112258911,61
ed_sheeran,7,positive_documents,random1,1,claim_all,1.2181297540664673,63
ed_sheeran,7,positive_documents,random1,-1,claim_first,1.0994678735733032,25
ed_sheeran,7,positive_documents,random1,-1,ordinary,2.4274230003356934,61
