doc_idx,cond,sign,span,loss,n_tok
20,random2,1,ordinary,2.7881367206573486,70
20,random2,-1,polarity_words,2.172995001077652,10
20,random2,-1,ordinary,2.6882147789001465,70
20,random3,1,polarity_words,2.434053488075733,10
20,random3,1,ordinary,2.79365873336792,70
20,random3,-1,polarity_words,2.5383578911423683,10
20,random3,-1,ordinary,2.6587390899658203,70
21,none,0,polarity_words,2.2464123530821367,14
21,none,0,ordinary,2.354877233505249,69
21,truth,1,polarity_words,3.4324344504963267,14
21,truth,1,ordinary,2.610288381576538,69
21,truth,-1,polarity_words,2.7616989612579346,14
21,truth,-1,ordinary,2.5087296962738037,69
21,random1,1,polarity_words,3.279970635067333,14
21,random1,1,ordinary,2.5581231117248535,69
21,random1,-1,polarity_words,2.5532273176041516,14
21,random1,-1,ordinary,2.549609661102295,69
21,random2,1,polarity_words,2.7390764355659485,14
21,random2,1,ordinary,2.538527250289917,69
21,random2,-1,polarity_words,2.5714312100952323,14
21,random2,-1,ordinary,2.502547025680542,69
21,random3,1,polarity_words,2.3881099820137024,14
21,random3,1,ordinary,2.5794386863708496,69
21,random3,-1,polarity_words,2.761666398156773,14
21,random3,-1,ordinary,2.5982601642608643,69
22,none,0,polarity_words,1.8962091412395239,11
22,none,0,ordinary,2.3477249145507812,68
22,truth,1,polarity_words,3.7860895693302155,11
22,truth,1,ordinary,2.9044246673583984,68
22,truth,-1,polarity_words,2.5736851021647453,11
22,truth,-1,ordinary,2.439204692840576,68
22,random1,1,polarity_words,3.230202905833721,11
22,random1,1,ordinary,2.6290669441223145,68
22,random1,-1,polarity_words,2.2406751234084368,11
22,random1,-1,ordinary,2.5525646209716797,68
22,random2,1,polarity_words,2.5271049048751593,11
22,random2,1,ordinary,2.7282156944274902,68
22,random2,-1,polarity_words,2.816889539361,11
22,random2,-1,ordinary,2.623016595840454,68
22,random3,1,polarity_words,3.2049817964434624,11
22,random3,1,ordinary,2.6505889892578125,68
22,random3,-1,polarity_words,2.1032795161008835,11
22,random3,-1,ordinary,2.667843818664551,68
23,none,0,polarity_words,2.5986944820199693,9
23,none,0,ordinary,1.6948251724243164,85
23,truth,1,polarity_words,4.236160329410008,9
23,truth,1,ordinary,2.0852112770080566,85
23,truth,-1,polarity_words,3.307290051664625,9
23,truth,-1,ordinary,1.863463282585144,85
23,random1,1,polarity_words,3.3221874918256487,9
23,random1,1,ordinary,2.0823090076446533,85
23,random1,-1,polarity_words,3.035922041961125,9
23,random1,-1,ordinary,1.805103063583374,85
23,random2,1,polarity_words,2.9721656697137013,9
23,random2,1,ordinary,1.8544964790344238,85
23,random2,-1,polarity_words,3.0341452956199646,9
23,random2,-1,ordinary,1.8872720003128052,85
23,random3,1,polarity_words,3.3412044601781026,9
23,random3,1,ordinary,1.8709783554077148,85
23,random3,-1,polarity_words,2.5118020666497096,9
23,random3,-1,ordinary,1.851564884185791,85
24,none,0,polarity_words,2.956887811422348,10
24,none,0,ordinary,1.4691749811172485,94
24,truth,1,polarity_words,4.061204895377159,10
24,truth,1,ordinary,1.919931411743164,94
24,truth,-1,polarity_words,3.5357224196195602,10
24,truth,-1,ordinary,1.7639940977096558,94
24,random1,1,polarity_words,2.804147094488144,10
24,random1,1,ordinary,1.8121894598007202,94
24,random1,-1,polarity_words,3.795583464205265,10
24,random1,-1,ordinary,1.698186993598938,94
24,random2,1,polarity_words,3.5025916695594788,10
24,random2,1,ordinary,1.7594470977783203,94
24,random2,-1,polarity_words,2.5662116184830666,10
24,random2,-1,ordinary,1.7442878484725952,94
24,random3,1,polarity_words,2.785750225186348,10
24,random3,1,ordinary,1.767013669013977,94
24,random3,-1,polarity_words,3.2201895639300346,10
24,random3,-1,ordinary,1.761214017868042,94
25,none,0,polarity_words,2.9923334221488664,8
25,none,0,ordinary,1.9181764125823975,72
25,truth,1,polarity_words,4.7645246631332805,8
25,truth,1,ordinary,2.292616605758667,72
25,truth,-1,polarity_words,3.4703638457826207,8
25,truth,-1,ordinary,2.2993788719177246,72
25,random1,1,polarity_words,4.6096933633089066,8
25,random1,1,ordinary,2.2021942138671875,72
25,random1,-1,polarity_words,3.236650269844436,8
25,random1,-1,ordinary,2.229278326034546,72
25,random2,1,polarity_words,4.381997395107256,8
25,random2,1,ordinary,2.347527503967285,72
25,random2,-1,polarity_words,3.597666498406657,8
25,random2,-1,ordinary,2.091268301010132,72
25,random3,1,polarity_words,3.987602123724563,8
25,random3,1,ordinary,2.087244749069214,72
25,random3,-1,polarity_words,3.579958630193557,8
25,random3,-1,ordinary,2.2644784450531006,72
26,none,0,polarity_words,1.3775626465911046,12
26,none,0,ordinary,1.794432520866394,75
26,truth,1,polarity_words,2.6917782574892044,12
26,truth,1,ordinary,2.298638105392456,75
26,truth,-1,polarity_words,2.170894468296319,12
26,truth,-1,ordinary,1.9215450286865234,75
26,random1,1,polarity_words,2.467834734916687,12
26,random1,1,ordinary,2.1111066341400146,75
26,random1,-1,polarity_words,1.6630882151424884,12
26,random1,-1,ordinary,2.125274896621704,75
26,random2,1,polarity_words,2.0523262437433005,12
26,random2,1,ordinary,2.1549530029296875,75
26,random2,-1,polarity_words,1.6386668551713228,12
26,random2,-1,ordinary,2.130925178527832,75
26,random3,1,polarity_words,1.86919750533998,12
26,random3,1,ordinary,2.0649378299713135,75
26,random3,-1,polarity_words,1.8569779253564775,12
26,random3,-1,ordinary,2.0383989810943604,75
27,none,0,polarity_words,2.3912524445490404,13
27,none,0,ordinary,2.12616229057312,74
27,truth,1,polarity_words,3.198131402785128,13
27,truth,1,ordinary,2.577286720275879,74
27,truth,-1,polarity_words,2.7522974000735716,13
27,truth,-1,ordinary,2.265470027923584,74
27,random1,1,polarity_words,3.305154276165095,13
27,random1,1,ordinary,2.6226909160614014,74
27,random1,-1,polarity_words,2.5051824924620716,13
27,random1,-1,ordinary,2.445234775543213,74
27,random2,1,polarity_words,2.967887894673781,13
27,random2,1,ordinary,2.611410617828369,74
27,random2,-1,polarity_words,2.6560910601507532,13
27,random2,-1,ordinary,2.3925819396972656,74
27,random3,1,polarity_words,2.917026599699801,13
27,random3,1,ordinary,2.6078803539276123,74
27,random3,-1,polarity_words,2.985209955410524,13
27,random3,-1,ordinary,2.306872844696045,74
28,none,0,polarity_words,2.2966675758361816,8
28,none,0,ordinary,2.0024876594543457,73
28,truth,1,polarity_words,4.179753243923187,8
28,truth,1,ordinary,2.2987008094787598,73
28,truth,-1,polarity_words,2.623755671083927,8
28,truth,-1,ordinary,2.133028745651245,73
28,random1,1,polarity_words,4.0973042994737625,8
28,random1,1,ordinary,2.2884490489959717,73
28,random1,-1,polarity_words,2.302393361926079,8
28,random1,-1,ordinary,2.16886305809021,73
